followers,followings,tweets_count,tweets_likes,replies_count,replies_likes,retweets_count,retweets_with_comment_count,retweets_with_comment_likes,retweeteds,replieds
3345,54,31,21729,34,2045,10,26,2291,7,9
908,66,17,218,25,40,2,0,0,9,1
87,204,68,174,22,7,15,0,0,917,11
2,0,3,0,19,6,0,14,5,1,1
1216,1804,78,2507,242,306,337,73,927,205,224
239,543,21,327,106,189,411,14,77,663,76
561,964,32,530,75,78,2,1,0,21,16
74,71,46,524,51,65,3,2,6,12,30
244,355,1,0,0,0,1436,0,0,182,0
21,52,1,0,57,48,4,0,0,12,0
178,299,2,0,106,123,0,0,0,5,60
59,107,58,186,28,33,1,7,3,25,2
27,24,59,341,67,72,3,3,10,1,10
87,178,9,77,10,37,6,0,0,7,2
37,15,13,97,0,0,150,0,0,270,1
14,17,10,53,1,0,2,0,0,1,3
154,333,16,113,0,0,209,0,0,76,0
16,143,9,59,15,17,14,5,5,1,1
17,37,2,7,0,0,0,0,0,4,0
1318,2665,7,499,2,21,806,0,0,2,11
144,390,8,11,0,0,0,0,0,1,0
118,193,7,106,112,99,30,2,94,2,22
34,88,22,164,16,9,16,6,27,60,2
132,177,7,36,5,12,0,0,0,1,5
391,393,9,141,79,98,22,0,0,24,8
86,677,96,345,0,0,46,0,0,15,1
1101,1408,144,1569,35,87,3,24,96,159,25
60,122,10,661,11,5,0,0,0,16,2
31,230,1,0,4,19,0,1,0,1,0
106,205,19,492,38,33,17,0,0,4,2
60,103,33,463,62,64,4,2,8,10,12
371,982,11,435,6,8,14,0,0,35,3
308,526,9,138,3,6,95,0,0,46,2
35,38,62,204,3,1,0,0,0,118,0
1886,532,62,2669,37,270,2,0,0,5,33
31,51,96,126,8,16,0,0,0,4,6
8,34,3,0,23,17,7,3,1,0,2
73,131,15,304,4,6,3,0,0,14,0
72,226,4,23,18,29,21,0,0,8,13
6,9,3,1,3,2,4,2,1,0,1
16,5,2,12,0,0,0,1,2,24,0
85,57,51,856,76,89,19,5,41,11,74
2,0,26,43,6,3,0,0,0,2,1
212,483,8,171,14,50,445,1,10,234,5
71,107,102,1299,134,184,6,8,64,11,116
105,145,14,227,0,0,317,1,0,158,0
3,3,1,0,31,8,87,0,0,143,4
38,0,9,272,2,27,822,0,0,392,0
4,16,7,0,16,0,216,0,0,7,15
255,102,66,1229,158,187,23,4,22,21,98
24,21,5,63,0,0,380,0,0,51,0
202,253,18,795,19,43,71,0,0,99,9
19,17,101,15,0,0,3,0,0,2,2
72,145,12,47,33,111,37,5,12,18,4
1,0,24,23,0,0,384,0,0,384,0
27,39,26,107,16,15,2,0,0,3,2
1093,1143,11,107,1,0,162,34,116,9,7
559,432,104,6918,243,1319,1365,37,304,3250,353
79,89,24,383,72,109,2,7,49,3,62
188,86,105,1218,51,151,70,3,6,289,99
2126,2927,14,846,22,19,210,3,22,11,12
39,62,2,1,0,0,259,0,0,11,0
30,210,26,159,1,0,12,0,0,10,0
74,76,24,79,40,59,11,1,0,25,24
109,0,9,186,1,1,119,0,0,37,2
36,46,33,46,44,47,15,9,12,9,4
149,301,27,143,23,47,0,0,0,17,1
47,48,4,72,0,0,3,0,0,7,0
3,2,1,0,1,4,0,0,0,1,0
4,2,3,3,0,0,0,0,0,1,0
1365,2606,38,756,77,217,28,3,11,13,38
15,46,2,5,15,39,2,1,1,2,1
6,3,4,0,115,29,0,10,1,12,22
8,3,94,5,0,0,0,7,2,0,0
8,25,17,31,2,1,3,1,2,1,1
33,68,67,67,33,96,0,2,0,7,1
36,13,22,276,1,0,1,0,0,137,0
9,0,2,7,0,0,330,0,0,236,0
268,419,1,0,6,13,636,0,0,274,0
43,90,10,3,4,5,184,6,2,21,0
178,386,21,16,48,46,295,120,79,13,18
526,483,16,396,158,162,52,0,0,18,34
151,196,30,42,67,48,8,0,0,6,33
67,155,9,55,8,38,1,0,0,6,8
20,4,5,276,19,36,4,1,1,29,10
57,19,3,1,4,0,124,6,0,107,1
1,8,1,0,3,1,0,0,0,0,0
468,458,11,630,94,105,13,5,0,68,48
175,0,69,321,0,0,3628,0,0,698,0
38,32,109,558,0,0,6,0,0,244,0
95,146,4,56,28,32,2,0,0,5,6
4,0,1,0,69,44,4,0,0,2,3
131,177,65,526,0,0,1361,0,0,1408,1
133,292,5,34,3,2,0,1,9,2,0
14,107,70,36,32,18,0,0,0,2,5
2179,2347,47,3060,164,384,169,18,139,815,121
2126,2122,361,27966,157,216,122,24,200,598,481
33,74,5,8,102,57,19,0,0,2,4
25,31,2,686,0,0,1,0,0,74,6
266,254,21,1576,10,12,0,0,0,36,11
565,1161,13,63,24,56,647,129,180,49,16
622,681,12,56,3,1,148,0,0,30,1
531,452,105,2800,76,90,20,6,12,41,109
926,1156,34,2162,25,271,92,6,69,524,20
55,33,24,228,56,63,23,10,18,6,32
196,918,41,173,0,0,77,0,0,14,1
13,0,3,9,0,0,1,0,0,3,0
